(24,25) | out1 | out2 | out3 | out4 | out5 | out6 | out7 | out8 | out9 | out10 | out11 | out12 | out13 | out14 | out15 | out16 | out17 | out18 | out19 | out20 | out21 | out22 | out23 | out24 | out25
sec1 | 0.1432297101784053 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.006683536797833881 | 0.0 | 0.0 | 0.0 | 0.0059890104134801385 | 0.0 | 0.012136233283853614 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004141109779115233 | 0.0 | 0.003892233623302176 | 0.0 | 0.8239272666081278
sec2 | 0.0228840349742694 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.006796885871242886 | 0.0 | 0.0 | 0.0 | 0.005262821183439396 | 0.0 | 0.005272578854701275 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004284715603778043 | 0.0 | 0.005227487480222724 | 0.0 | 0.9502704322142577
sec3 | 0.01765237292311911 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.006877901170357209 | 0.0 | 0.0 | 0.0 | 0.00604205695204363 | 0.0 | 0.00541192000857144 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004246717011358573 | 0.0 | 0.004686109306744111 | 0.0 | 0.9550818714416571
sec4 | 0.007356966407449928 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.008063740283441938 | 0.0 | 0.0 | 0.0 | 0.019651939440272964 | 0.0 | 0.004689891392252937 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0026728212896506465 | 0.0 | 0.014073493815363974 | 0.0 | 0.9434901144412198
sec5 | 0.008371157881208504 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.009329326849756722 | 0.0 | 0.0 | 0.0 | 0.009242045373727775 | 0.0 | 0.011618643918653242 | 0.0 | 0.0 | 0.0 | 0.0 | 0.005745521128189624 | 0.0 | 0.003854422527743951 | 0.0 | 0.9518378418293287
sec6 | 0.008351006259810412 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.009041259111636767 | 0.0 | 0.0 | 0.0 | 0.017278955432657745 | 0.0 | 0.0037007919125966017 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004217474173075429 | 0.0 | 0.006114831723550722 | 0.0 | 0.9512946383823022
sec7 | 0.01831876738418493 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0074202686786842085 | 0.0 | 0.0 | 0.0 | 0.005310068974364318 | 0.0 | 0.01000242703059753 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010832545386053063 | 0.0 | 0.009836239550962874 | 0.0 | 0.9382786593672888
sec8 | 0.01664623880678046 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01904099715388416 | 0.0 | 0.0 | 0.0 | 0.017969020779749767 | 0.0 | 0.00490134544551247 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011141998789179246 | 0.0 | 0.004998198700340396 | 0.0 | 0.9253012018566568
sec9 | 0.00874183002832035 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.00737613301941659 | 0.0 | 0.0 | 0.0 | 0.007611295448158911 | 0.0 | 0.01108524117466061 | 0.0 | 0.0 | 0.0 | 0.0 | 0.003083597713287442 | 0.0 | 0.011773479441400742 | 0.0 | 0.9503273799936038
sec10 | 0.00563342866039714 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.14338393260511312 | 0.0 | 0.0 | 0.0 | 0.007032493763712453 | 0.0 | 0.0129290900806426 | 0.0 | 0.0 | 0.0 | 0.0 | 0.003762434295584971 | 0.0 | 0.003800451315959174 | 0.0 | 0.8234572717679021
sec11 | 0.01744229989144995 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01597063128282527 | 0.0 | 0.0 | 0.0 | 0.0052160146167628384 | 0.0 | 0.005571804453412994 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010604972351649164 | 0.0 | 0.009145305102137857 | 0.0 | 0.936047952342318
sec12 | 0.006965835507807882 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0088032242401141 | 0.0 | 0.0 | 0.0 | 0.018851204023598536 | 0.0 | 0.004114462241027526 | 0.0 | 0.0 | 0.0 | 0.0 | 0.012321386559837885 | 0.0 | 0.0057030507680915525 | 0.0 | 0.9432398072040403
sec13 | 0.015607006724195665 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01569666289046242 | 0.0 | 0.0 | 0.0 | 0.008074218459258712 | 0.0 | 0.009915913916183931 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010913289064357772 | 0.0 | 0.004034277047638464 | 0.0 | 0.9357576167420493
sec14 | 0.006071423272824246 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01924270634459406 | 0.0 | 0.0 | 0.0 | 0.1429849057699542 | 0.0 | 0.004114354567545106 | 0.0 | 0.0 | 0.0 | 0.0 | 0.003835241654063246 | 0.0 | 0.010967340027274786 | 0.0 | 0.8127831479645735
sec15 | 0.010169266904028966 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.008208814208720761 | 0.0 | 0.0 | 0.0 | 0.005930160348451814 | 0.0 | 0.009413832008951167 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004319622311878361 | 0.0 | 0.00909912009993609 | 0.0 | 0.9528581380374358
sec16 | 0.006337655566481184 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01478685062352959 | 0.0 | 0.0 | 0.0 | 0.014164800337219908 | 0.0 | 0.0860207319001687 | 0.0 | 0.0 | 0.0 | 0.0 | 0.009357552067050471 | 0.0 | 0.004754131008048322 | 0.0 | 0.8645773377296105
sec17 | 0.01907042065579985 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.008121902049122873 | 0.0 | 0.0 | 0.0 | 0.00470476989897601 | 0.0 | 0.004651033362655401 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0039950242171421955 | 0.0 | 0.01066742397997273 | 0.0 | 0.9487883850825303
sec18 | 0.01724900681837091 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.007196842172941215 | 0.0 | 0.0 | 0.0 | 0.009276585927731923 | 0.0 | 0.010834098571595153 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011813948784116696 | 0.0 | 0.0042892749218714655 | 0.0 | 0.9393392197302934
sec19 | 0.01816290946857439 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01821384490993639 | 0.0 | 0.0 | 0.0 | 0.017539381462021008 | 0.0 | 0.012579045360683242 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004409149105691748 | 0.0 | 0.004449098143371658 | 0.0 | 0.9246455734715981
sec20 | 0.00797294174906222 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.007286729417299594 | 0.0 | 0.0 | 0.0 | 0.018869169386042592 | 0.0 | 0.005322114984874225 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004864193502299089 | 0.0 | 0.0054500471055935595 | 0.0 | 0.9502337628423158
sec21 | 0.0060861156516834524 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.016771618857987326 | 0.0 | 0.0 | 0.0 | 0.016987617011967007 | 0.0 | 0.004389872635045818 | 0.0 | 0.0 | 0.0 | 0.0 | 0.11058621798778334 | 0.0 | 0.004337453228465748 | 0.0 | 0.8408401913466386
sec22 | 0.010316475252816773 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01959406138061368 | 0.0 | 0.0 | 0.0 | 0.004839902506406542 | 0.0 | 0.004076230751524196 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0033039653084795994 | 0.0 | 0.012024392122619954 | 0.0 | 0.9458439354124547
sec23 | 0.01655258445251814 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01414560229131614 | 0.0 | 0.0 | 0.0 | 0.004936184257727766 | 0.0 | 0.004972064747739682 | 0.0 | 0.0 | 0.0 | 0.0 | 0.003344316847398197 | 0.0 | 0.08575565094050801 | 0.0 | 0.8702926450921795
sec24 | 0.008823371589030397 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01560203269424847 | 0.0 | 0.0 | 0.0 | 0.006050990782908555 | 0.0 | 0.0050068154255755335 | 0.0 | 0.0 | 0.0 | 0.0 | 0.003800011440629799 | 0.0 | 0.00962446624231858 | 0.0 | 0.9510912666877758
