(24,25) | out1 | out2 | out3 | out4 | out5 | out6 | out7 | out8 | out9 | out10 | out11 | out12 | out13 | out14 | out15 | out16 | out17 | out18 | out19 | out20 | out21 | out22 | out23 | out24 | out25
sec1 | 0.0 | 0.0 | 0.002891441831348374 | 0.004359210203891806 | 0.0 | 0.0166895760119194 | 0.0 | 0.004012582962923438 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.005023371343860385 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.9670227722615208
sec2 | 0.0 | 0.0 | 0.009877638331950945 | 0.011099054306472017 | 0.0 | 0.01483851489012879 | 0.0 | 0.0036996807367111898 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.006872034953737314 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.9536120524631966
sec3 | 0.0 | 0.0 | 0.09894514472477789 | 0.009103198299169914 | 0.0 | 0.005856984150610307 | 0.0 | 0.0040458962486043 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01234991686959747 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.8696979238069934
sec4 | 0.0 | 0.0 | 0.001931397207542909 | 0.09112174412823419 | 0.0 | 0.006439853797605673 | 0.0 | 0.003608162318885231 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01165800534930293 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.885239879089383
sec5 | 0.0 | 0.0 | 0.002637299012564552 | 0.01226120062680157 | 0.0 | 0.007099962187185219 | 0.0 | 0.0026616961026653487 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0047241348172661944 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.9706146533542505
sec6 | 0.0 | 0.0 | 0.0029299154732655886 | 0.003165045801250177 | 0.0 | 0.11458742895730786 | 0.0 | 0.010539199880117556 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004469217882766172 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.8643082604774358
sec7 | 0.0 | 0.0 | 0.0024075218917977903 | 0.0036354974310278095 | 0.0 | 0.01233345894886219 | 0.0 | 0.0095129183447241 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01019898368390803 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.9619105812859283
sec8 | 0.0 | 0.0 | 0.0020281241229123527 | 0.003610320746423064 | 0.0 | 0.006968123937757419 | 0.0 | 0.10002036992746267 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004938116014957146 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.8824339879657522
sec9 | 0.0 | 0.0 | 0.007977822065593146 | 0.003500999952165642 | 0.0 | 0.012519466985149514 | 0.0 | 0.009547517299302801 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011006888534177634 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.9554462775185626
sec10 | 0.0 | 0.0 | 0.0030414869687064327 | 0.010216269248656432 | 0.0 | 0.014714366715325805 | 0.0 | 0.0032026475475961406 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.005191758842073871 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.9636324292698983
